service_date,day_type,bus,rail_boardings,total_rides
2020-07-10,W,312226,155529,467755
2020-07-11,A,233152,112641,345793
2020-07-12,U,174761,90382,265143
2020-07-13,W,309700,149117,458817
2020-07-14,W,312379,152758,465137
2020-07-15,W,295648,147794,443442
2020-07-16,W,306288,154912,461200
2020-07-17,W,315882,161335,477217
2020-07-18,A,219217,109549,328766
2020-07-19,U,148461,80714,229175
2020-07-20,W,307261,149404,456665
2020-07-21,W,297659,148632,446291
2020-07-22,W,306629,152652,459281
2020-07-23,W,315401,156970,472371
2020-07-24,W,318269,161024,479293
2020-07-25,A,228619,116404,345023
2020-07-26,U,163332,90069,253401
2020-07-27,W,295579,144168,439747
2020-07-28,W,314899,153221,468120
2020-07-29,W,305332,152279,457611
2020-07-30,W,307576,156312,463888
2020-07-31,W,338021,164604,502625
2020-08-01,A,235944,117414,353358
2020-08-02,U,169536,89199,258735
2020-08-03,W,324028,152552,476580
2020-08-04,W,326128,157759,483887
2020-08-05,W,319021,157695,476716
2020-08-06,W,320751,159609,480360
2020-08-07,W,326107,164886,490993
2020-08-08,A,232723,118676,351399
2020-08-09,U,175080,93832,268912
2020-08-10,W,250672,96642,347314
2020-08-11,W,309009,138581,447590
2020-08-12,W,313739,146680,460419
2020-08-13,W,313917,150941,464858
2020-08-14,W,315311,155653,470964
2020-08-15,A,215071,107720,322791
2020-08-16,U,172492,89599,262091
2020-08-17,W,304431,147684,452115
2020-08-18,W,313038,155406,468444
2020-08-19,W,317835,158653,476488
2020-08-20,W,317199,160843,478042
2020-08-21,W,322563,165104,487667
2020-08-22,A,229626,119732,349358
2020-08-23,U,167737,93123,260860
2020-08-24,W,295919,152126,448045
2020-08-25,W,306720,156020,462740
2020-08-26,W,311882,158419,470301
2020-08-27,W,307570,159603,467173
2020-08-28,W,313712,163890,477602
2020-08-29,A,228415,120335,348750
2020-08-30,U,172100,96089,268189
2020-08-31,W,312659,156093,468752
2020-09-01,W,320186,157112,477298
2020-09-02,W,335025,167989,503014
2020-09-03,W,347516,172408,519924
2020-09-04,W,339339,176834,516173
2020-09-05,A,239660,134087,373747
2020-09-06,U,161152,98132,259284
2020-09-07,U,189391,104992,294383
2020-09-08,W,288854,151558,440412
2020-09-09,W,318510,162823,481333
2020-09-10,W,320927,167696,488623
2020-09-11,W,323815,172643,496458
2020-09-12,A,213040,118325,331365
2020-09-13,U,183881,104162,288043
2020-09-14,W,314508,159479,473987
2020-09-15,W,323465,166872,490337
2020-09-16,W,323500,171467,494967
2020-09-17,W,322703,171455,494158
2020-09-18,W,329339,179021,508360
2020-09-19,A,240028,135343,375371
2020-09-20,U,175502,101785,277287
2020-09-21,W,312717,160531,473248
2020-09-22,W,324554,166852,491406
2020-09-23,W,326416,169407,495823
2020-09-24,W,321314,169953,491267
2020-09-25,W,338121,180938,519059
2020-09-26,A,239686,136388,376074
2020-09-27,U,176943,102308,279251
2020-09-28,W,299874,158980,458854
2020-09-29,W,323062,167874,490936
2020-09-30,W,320186,169305,489491
2020-10-01,W,336911,173387,510298
2020-10-02,W,349664,182413,532077
2020-10-03,A,241921,133772,375693
2020-10-04,U,179954,100387,280341
2020-10-05,W,326242,164517,490759
2020-10-06,W,332474,168456,500930
2020-10-07,W,333595,171757,505352
2020-10-08,W,334365,174469,508834
2020-10-09,W,335842,183544,519386
2020-10-10,A,248858,137846,386704
2020-10-11,U,181194,103244,284438
2020-10-12,W,271925,145635,417560
2020-10-13,W,334145,170998,505143
2020-10-14,W,334911,172419,507330
2020-10-15,W,323424,172888,496312
2020-10-16,W,324544,178507,503051
2020-10-17,A,231563,134238,365801
2020-10-18,U,150496,92227,242723
2020-10-19,W,300842,158006,458848
2020-10-20,W,310091,163811,473902
2020-10-21,W,321256,167872,489128
2020-10-22,W,318012,168824,486836
2020-10-23,W,288787,166459,455246
2020-10-24,A,239353,132006,371359
2020-10-25,U,160807,94731,255538
2020-10-26,W,294204,155238,449442
2020-10-27,W,299100,158973,458073
2020-10-28,W,318538,165838,484376
2020-10-29,W,304342,165360,469702
2020-10-30,W,334559,172445,507004
2020-10-31,A,224885,120080,344965
2020-11-01,U,149896,85934,235830
2020-11-02,W,301558,154284,455842
2020-11-03,W,317723,149741,467464
2020-11-04,W,306904,151147,458051
2020-11-05,W,311836,158434,470270
2020-11-06,W,318896,167110,486006
2020-11-07,A,226237,126890,353127
2020-11-08,U,166538,94199,260737
2020-11-09,W,308098,157126,465224
2020-11-10,W,298502,153003,451505
2020-11-11,W,286362,147595,433957
2020-11-12,W,305497,158496,463993
2020-11-13,W,305354,159535,464889
2020-11-14,A,206691,104500,311191
2020-11-15,U,136434,75619,212053
2020-11-16,W,282290,140661,422951
2020-11-17,W,279757,140971,420728
